timestamp,AGC,CN0,RSSI,jammed,device,band,env,is_synth,lat,lon,h_m,building_density,local_signal_variance,jammer_lat,jammer_lon,dist_to_jammer,Elevation,x_enu,y_enu,device_idx,band_idx,AGC_base,CN0_base,Delta_CN0,Delta_AGC_raw,AGC_sign,Delta_AGC,RSSI_pred_raw,RSSI_pred,RSSI_pred_cal,RSSI_pred_final,jammed_pred,detection_score,RSSI_pred_gated
2026-01-04 05:17:00,84.3644512129837,60.18233629333288,-87.94034477779691,0,pixel6,L1,urban,1,45.06438828,7.659904957,237.13347,0.09220324,0.59937555,45.0628,7.6616,221.1652712117569,52.875603,-133.12945584322293,176.60867809101947,5,0,83.68566675658062,61.491713036197154,1.3093767428642735,-0.6787844564030792,1,-0.6787844564030792,-98.550995,-97.92499193706843,-97.92499193706843,-97.92499193706843,0,1.3318154516500798,
2026-01-04 00:51:00,85.58184056455005,-20.686894726733563,-108.1319476847782,1,hisilicon980,L5,urban,1,45.0639534,7.661012173,247.41325,0.29509097,1.390466,45.0628,7.6616,136.30897629574918,60.329773,-46.16820260017821,128.25222839180614,3,1,83.12019693282099,60.31531999785307,60.0,-2.4616436317290606,1,-2.4616436317290606,-101.51794,-101.91876748966813,-101.91876748966813,-101.91876748966813,1,57.31362317852204,-101.91876748966813
2026-01-04 15:31:00,81.03213422501459,62.47436160057802,-91.89508598110358,0,xiaomi_11,L1,urban,1,45.06403732,7.663963795,257.73904,0.65303206,0.76779884,45.0628,7.6616,231.0768598233452,79.082085,185.6535451165332,137.5837066352019,10,0,83.09051448419538,61.04446118611317,-1.4299004144648535,2.058380259180794,1,2.058380259180794,-93.284546,-92.6380686682009,-92.6380686682009,-92.6380686682009,0,1.949700938512778,
2026-01-02 10:44:00,88.01274239802778,-23.52394545110684,-109.24945043137404,1,samsung_s21,L1,urban,1,45.06168747,7.662013531,237.86696,0.673395,1.0494696,45.0628,7.6616,127.90024587738873,36.732243,32.478914696774964,-123.707691739908,6,0,82.91876083803864,60.79160988146042,60.0,-5.093981559989146,1,-5.093981559989146,-107.56644,-107.36786300093326,-107.36786300093326,-107.36786300093326,1,57.39290346066036,-107.36786300093326
2026-01-06 04:41:00,86.23380434632843,57.88802037614632,-99.25341799932129,0,bcm47755_new,L5,urban,1,45.06145859,7.663308144,247.80524,0.21124375,0.44562897,45.0628,7.6616,200.61551561744503,62.102478,134.15841440123947,-149.15798655049832,1,1,83.09051902500958,61.64709223968395,3.7590718635376277,-3.1432853213188423,1,-3.1432853213188423,-97.32472,-98.15862096984009,-98.15862096984009,-98.15862096984009,1,4.171372026942959,-98.15862096984009
2026-01-06 13:05:00,91.17613173051816,-29.6771661479464,-118.85166603282664,1,snapdragon855,L1,urban,1,45.06101227,7.662696838,229.44257,0.80840147,0.4142046,45.0628,7.6616,216.65003114589683,14.109199,86.14616035589317,-198.7865062106953,7,0,82.56781974636593,60.317366647237456,60.0,-8.608311984152238,1,-8.608311984152238,-113.88174,-113.6478419399869,-113.6478419399869,-113.6478419399869,1,57.58440179583605,-113.6478419399869
2026-01-07 01:01:00,86.47342598720941,-25.32834441145188,-108.7385491594004,1,oneplus9,L1,urban,1,45.06205368,7.660533428,243.86269,0.7550362,2.5664544,45.0628,7.6616,117.91563222869767,45.607944,-83.76905481314736,-82.9869976538819,4,0,82.81693380986873,60.9688825163999,60.0,-3.656492177340681,1,-3.656492177340681,-103.71247,-103.54142168721236,-103.54142168721236,-103.54142168721236,1,57.342775620818585,-103.54142168721236
2026-01-06 23:21:00,84.6874614537974,-22.856472531833123,-103.64730044823492,1,oneplus9,L1,urban,1,45.06317139,7.662633896,249.4816,0.092685536,1.7834188,45.0628,7.6616,91.1004345921188,47.136715,81.20266676332506,41.29668380629729,4,0,82.81693380986873,60.9688825163999,60.0,-1.8705276439286678,1,-1.8705276439286678,-99.68282,-99.56078668685956,-99.56078668685956,-99.56078668685956,1,57.30340742419371,-99.56078668685956
2026-01-05 19:24:00,85.65267269331831,-22.047246135864505,-104.85880199759784,1,samsung_s21,L1,urban,1,45.06392288,7.661103725,260.7866,0.16842695,0.598664,45.0628,7.6616,130.80106381890502,27.360647,-38.97766646543221,124.85855923030182,6,0,82.91876083803864,60.79160988146042,60.0,-2.733911855279672,1,-2.733911855279672,-102.20781,-102.0984215152698,-102.0984215152698,-102.0984215152698,1,57.31926554093101,-102.0984215152698
2026-01-05 16:59:00,89.63237682451164,-25.970027583354543,-113.16103009041822,1,xiaomi_11,L1,urban,1,45.06137848,7.661093235,245.47983,0.40154478,0.8775304,45.0628,7.6616,162.99989206491372,49.501232,-39.801555884061536,-158.0658121238791,10,0,83.09051448419538,61.04446118611317,60.0,-6.541862340316257,1,-6.541862340316257,-110.66163,-110.4722386417619,-110.4722386417619,-110.4722386417619,1,57.459973734474325,-110.4722386417619
2026-01-05 04:17:00,81.02403963194733,57.5270434268153,-91.2074281981118,0,snapdragon855,L1,urban,1,45.06393433,7.658947945,258.9352,0.17528956,0.72879004,45.0628,7.6616,243.5065654009811,7.2506533,-208.29361792962325,126.13174114064392,7,0,82.56781974636593,60.317366647237456,2.7903232204221595,1.5437801144185954,1,1.5437801144185954,-91.473114,-92.85595052691626,-92.85595052691626,-92.85595052691626,0,2.861474517385247,
2026-01-01 17:45:00,80.81788399864674,63.46064362971434,-89.90223908860439,0,ublox_wired_like,L5,urban,1,45.06429672,7.663793087,245.1342,0.36388776,0.76588786,45.0628,7.6616,239.51383020746715,45.740158,172.24606038130622,166.4276706072966,9,1,83.20026186282526,61.58078215307094,-1.8798614766433985,2.3823778641785225,1,2.3823778641785225,-93.559685,-94.4020501636578,-94.4020501636578,-94.4020501636578,0,2.4118353206461154,
2026-01-06 18:17:00,86.88604226802924,63.83721266775242,-103.98234359026064,0,Moto_g,L1,urban,1,45.06075668,7.660471439,252.75903,0.15114975,0.533478,45.0628,7.6616,243.8843571646715,31.774843,-88.6376993479674,-227.2068175119849,0,0,82.90023568732892,61.25106059397905,-2.58615207377337,-3.985806580700327,1,-3.985806580700327,-100.201584,-99.89320093903362,-99.89320093903362,-99.89320093903362,1,3.6553395770121355,-99.89320093903362
