timestamp_iso,timestamp,AGC,CN0,RSSI,jammed,device,band,env,is_synth
2025-07-30T08:46:07Z,2025-07-30T08:46:07Z,-12.28665609,44.06666667,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:08Z,2025-07-30T08:46:08Z,-12.28665609,44,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:09Z,2025-07-30T08:46:09Z,-12.28665609,43.98,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:10Z,2025-07-30T08:46:10Z,-12.28665609,43.9,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:11Z,2025-07-30T08:46:11Z,-12.28665609,43.8,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:12Z,2025-07-30T08:46:12Z,-12.28665609,43.7,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:13Z,2025-07-30T08:46:13Z,-12.28665609,43.7,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:14Z,2025-07-30T08:46:14Z,-12.28665609,43.7,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:15Z,2025-07-30T08:46:15Z,-12.28665609,43.7,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:16Z,2025-07-30T08:46:16Z,-12.28665609,43.7,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:17Z,2025-07-30T08:46:17Z,-12.28665609,43.64,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:18Z,2025-07-30T08:46:18Z,-12.28665609,43.7,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:19Z,2025-07-30T08:46:19Z,-12.28665609,43.66,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:20Z,2025-07-30T08:46:20Z,-12.28665609,43.6,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:21Z,2025-07-30T08:46:21Z,-12.28665609,43.6,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:22Z,2025-07-30T08:46:22Z,-12.28665609,43.62,-85,0,ublox_wired,L1,lab_wired,0
2025-07-30T08:46:23Z,2025-07-30T08:46:23Z,-12.28665609,43.72,-85,0,ublox_wired,L1,lab_wired,0
