timestamp,lat,lon,env,device,band,AGC,CN0,RSSI,RSSI_pred_raw,RSSI_pred_final,RSSI_pred_cal,RSSI_pred_gated,jammed,jammed_pred
2026-01-01 14:43:00,45.06512914,7.658563566,lab_wired,ublox_wired,L1,77.98349998259694,-8.706086396805379,-51.51767040546569,-54.173096,-53.99622544133805,-53.99622544133805,-53.99622544133805,1,1
2026-01-07 02:50:00,45.06536453,7.658641439,lab_wired,ublox_wired,L1,104.4246956728594,66.68658253500622,-134.05239226783206,-129.4766,-129.86770477164686,-129.86770477164686,,0,0
2026-01-07 04:42:00,45.06527936,7.658783045,lab_wired,ublox_wired,L1,79.01524212766802,-3.388308314859154,-60.8115836078534,-57.55429,-57.402923415397915,-57.402923415397915,-57.402923415397915,1,1
2026-01-06 20:40:00,45.06528858,7.658810549,lab_wired,ublox_wired,L1,107.32975555626427,70.94653847619658,-130.33455668951737,-130.9961,-131.3986664470511,-131.3986664470511,,0,0
2026-01-05 02:25:00,45.06533929,7.659038716,lab_wired,ublox_wired,L1,101.42652234492108,65.35444439062454,-120.785989895182,-128.16905,-128.55030165735846,-128.55030165735846,-128.55030165735846,0,1
2026-01-03 20:57:00,45.0653885,7.658613941,lab_wired,ublox_wired,L1,106.6748533012376,69.03580712851944,-136.5317082066902,-130.53406,-130.93314537365188,-130.93314537365188,,0,0
2026-01-03 16:03:00,45.06515132,7.659084609,lab_wired,ublox_wired,L1,83.67810174801043,4.487760917280564,-67.09017025545123,-67.07963,-67.0001061720738,-67.0001061720738,-67.0001061720738,1,1
2026-01-04 23:08:00,45.06514147,7.658558553,lab_wired,ublox_wired,L1,79.18043715142538,-8.256501889898733,-56.84783328258653,-55.182053,-55.012792480188,-55.012792480188,-55.012792480188,1,1
2026-01-02 09:14:00,45.06522724,7.658574568,lab_wired,ublox_wired,L1,80.47037634874276,-6.763253324602083,-57.34372402021753,-56.866352,-56.70979589842515,-56.70979589842515,-56.70979589842515,1,1
2026-01-04 21:06:00,45.06505828,7.658583762,lab_wired,ublox_wired,L1,77.64494365523356,-14.007607144506714,-50.568639141110175,-51.782837,-51.58793795435519,-51.58793795435519,-51.58793795435519,1,1
2026-01-06 04:52:00,45.0652423,7.658648951,lab_wired,ublox_wired,L1,103.6586534264552,70.38427459994128,-129.1675622759876,-129.99678,-130.3918157000898,-130.3918157000898,,0,0
2026-01-05 07:21:00,45.06500104,7.659066678,lab_wired,ublox_wired,L1,83.39296796921535,5.058517832403622,-68.31361333444978,-67.20207,-67.12347386868846,-67.12347386868846,-67.12347386868846,1,1
2026-01-03 02:48:00,45.06516958,7.659102778,lab_wired,ublox_wired,L1,84.04871663570636,4.535885221848088,-66.09881901069343,-67.523445,-67.44727083326566,-67.44727083326566,-67.44727083326566,1,1
2026-01-01 18:58:00,45.06504183,7.658689256,lab_wired,ublox_wired,L1,80.45741927219528,-4.218521497964836,-57.55583489096386,-58.243526,-58.09735771213419,-58.09735771213419,-58.09735771213419,1,1
2026-01-05 08:27:00,45.06520144,7.659005176,lab_wired,ublox_wired,L1,106.64073739815196,66.20315275105631,-132.89614606211347,-130.01416,-130.40932654892077,-130.40932654892077,-130.40932654892077,0,1
2026-01-02 01:06:00,45.0653869,7.658908714,lab_wired,ublox_wired,L1,107.46940343488966,64.04617311667461,-126.60950592320164,-129.82645,-130.22019708244267,-130.22019708244267,-130.22019708244267,0,1
2026-01-04 08:26:00,45.06530872,7.658772461,lab_wired,ublox_wired,L1,82.30963532111046,-3.3093654647754303,-59.894511522949024,-60.351055,-60.22078258455251,-60.22078258455251,-60.22078258455251,1,1
2026-01-02 16:52:00,45.06518999,7.658862695,lab_wired,ublox_wired,L1,83.86025190706647,-2.438485962674393,-63.80454288524129,-62.33444,-62.21912557278404,-62.21912557278404,-62.21912557278404,1,1
